address;category;id;lat;lng;location;name;originalId;polarity;subCategory;details;reviews
Bundesallee 31A, Berlin, Germany;accommodation;101638;52.49034;13.33059;Berlin;Hotel Vier Jahreszeiten;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=101638;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=101638
Bundesallee 31a, Berlin, Germany;accommodation;234405;52.490414;13.330065;Berlin;Hotel Christine Göbel;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234405;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234405
Bundesallee 75;accommodation;111498;52.4736846241;13.328223349063;Berlin;Hotel Klee Berlin;51a7c16a498e42b4dad34f0c;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=111498;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111498
Burgemeisterstr. 2;accommodation;101300;52.45725393491;13.387076616989;Berlin;Hotel Pension Canaletto;4e738d2088778d253b2e1c7f;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=101300;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=101300
Charlottenstr. 66;accommodation;94734;52.510805795439;13.391701008843;Berlin;Winter's Hotel;4bc7297815a7ef3b8dd178da;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94734;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94734
Charlottenstraße 78, Berlin, Germany;accommodation;233195;52.508241;13.392054;Berlin;Hotel Apartments Checkpoint Charlie;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233195;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233195
Chausseestr. 72-75;accommodation;112117;52.538772394464;13.372560739517;Berlin;Hotel-Pension SAKS;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=112117;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=112117
Chausseestraße 72, Berlin, Germany;accommodation;233294;52.538756;13.372563;Berlin;Hotel Pension Saks;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233294;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233294
Chemnitzer Straße 143, Berlin, Germany;accommodation;234159;52.493345;13.576534;Berlin;Hotel Hildebrandt;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234159;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234159
Coppistraße 16, Berlin, Germany;accommodation;234154;52.508027;13.482323;Berlin;hostelix GmbH;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234154;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234154
Dahlmannstraße 7, Berlin, Germany;accommodation;94757;52.502188;13.303666;Berlin;Hotel Orion-Berlin;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94757;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94757
Darmstädter Straße 7, Berlin, Germany;accommodation;94769;52.497461;13.317693;Berlin;Hotel-Pension Kleist;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94769;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94769
Dennewitzstraße 7;accommodation;94615;52.499136816462;13.369429189089;Berlin;Academy Hotel Berlin;4bbca9328a4fb71389f33b9d;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=94615;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94615
Dieffenbachstrasse;accommodation;94234;52.493807994268;13.411731719971;Berlin;Junction Berlin;4b98e0aff964a520c95335e3;0;Bed & Breakfast;http://tour-pedia.org/api/getPlaceDetails?id=94234;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94234
Dudenstraße 4, Berlin, Germany;accommodation;233278;52.485285;13.385234;Berlin;Hotel Columbia am Flughafen Tempelhof;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233278;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233278
Ehrlichstraße 48, Berlin / Lichtenberg / Karlshorst, Deutschland;accommodation;99866;52.481822;13.517225;Berlin;Hotel Mit-Mensch;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=99866;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=99866
Eichborndamm 42, Berlin, Germany;accommodation;233619;52.572139;13.313634;Berlin;Hotel-Pension Hensel;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233619;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233619
Eichendorffstr. 4;accommodation;91904;52.530068167132;13.388135746622;Berlin;Hotel Zarenhof Berlin-Mitte;4a1c85d4f964a520467b1fe3;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=91904;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91904
Emanuelstrasse, Lichtenberg-Rummelsburg;accommodation;97710;52.50204;13.49074;Berlin;Waytostay;4d41e510aed776eb1f5d6897;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=97710;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97710
Emser Str. 19;accommodation;101247;52.496172594839;13.320429325104;Berlin;Hotel Bellevue;4e6e7be4b993df929ef71009;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=101247;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=101247
Emser Straße 19, Berlin, Germany;accommodation;233594;52.496209;13.320176;Berlin;Hotel Bellevue Am Kurfürstendamm;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233594;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233594
Erkelenzdamm 17;accommodation;114085;52.500304;13.414603;Berlin;Pension Obermaier;5259b003498ecec3781d9938;0;Bed & Breakfast;http://tour-pedia.org/api/getPlaceDetails?id=114085;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114085
Exerzierstraße 23;accommodation;102495;52.553770957972;13.373372941755;Berlin;Villa Boo Boo;4eed2a21f790c40a89c35243;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=102495;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=102495
Fasanenstr. 2;accommodation;91940;52.507759698801;13.328216718728;Berlin;Hotel Astoria;4adcda70f964a520014521e3;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=91940;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91940
Ferdinand-Schultze-Straße 92;accommodation;98710;52.543274761846;13.508661290062;Berlin;Hotel Ferdinand;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=98710;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=98710
Ferdinandstraße 39, Berlin, Germany;accommodation;101798;52.510223;13.591708;Berlin;Hotel Azur;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=101798;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=101798
Fichtenweg 101, Berlin, Germany;accommodation;233693;52.568884;13.209298;Berlin;Hotel Waldschänke Spandau;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233693;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233693
Fischerhüttenstraße 113, Berlin, Germany;accommodation;100807;52.444486;13.236892;Berlin;Hotel Haus Leopold;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=100807;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=100807
Flotowstr. 6;accommodation;111913;52.522327919209;13.334618547656;Berlin;Hotel Hansablick;51c385fa498e4ab0f1f9dfd8;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=111913;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=111913
Forststraße 15, Berlin, Germany;accommodation;233646;52.612305;13.299383;Berlin;Holyday Home Berlin Hermsdorf;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=233646;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=233646
Franklinstr. 22 - 23;accommodation;114289;52.521049;13.327634;Berlin;Design And Style Hotel;526d121711d2a48aafe1bb56;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=114289;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114289
Franklinstrasse, Charlottenburg;accommodation;97713;52.52513;13.32972;Berlin;Waytostay;4d41e514aed776ebee5d6897;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=97713;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97713
Franziusweg 22, Berlin, Germany;accommodation;234657;52.395998;13.387668;Berlin;Hotel Hackbarth;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=234657;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=234657
Fregestraße 68;accommodation;110998;52.47002;13.337315;Berlin;Literaturhotel Berlin;518545cf498ee03b3b269105;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=110998;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=110998
Fregestraße 68, Berlin, Germany;accommodation;99442;52.470175;13.337452;Berlin;Hotel Friedenau - Das Literaturhotel Berlin;;;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=99442;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=99442
Freiheit 10-11;accommodation;102200;52.451748733779;13.579857194832;Berlin;Kubrat Hotel a/d Spree;4ed0e6dbe5faa5ec035a18c4;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=102200;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=102200
